#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-19T14:36:33 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-19T14:36:33	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-order=I&-out.src=J/A+A/702/A77/tableb1&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/702/A77/tableb1&-out=Seq&-out=RA_ICRS&-out=DE_ICRS&-out=GaiaDR3&-out=Alias&-out=HIP&-out=Gmag&-out=Vmag&-out=Kmag&-out=B-V&-out=BP-RP&-out=plx&-out=SpType&-out=MstarFlame&-out=Dataset&-out=NFOV&-out=NAL&-out=AEN&-out=RUWE&-out=sigmacalib&-out=sigmaAL&-out=sigmaatt&-out=alphaU&-out=pRUWE&-out=s_RUWE&-out=Mplmin&-out=smaPlmin&-out=rhoPlmin&-out=WDS&-out=NSSflag&-out=NPlNEA&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_37020077
#Name: J/A+A/702/A77
#Title: Catalog of 9698 planet candidate solar-type hosts (Kiefer+, 2025)
#INFO	ivoid=ivo://cds.vizier/j/a+a/702/a77	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/702/a77	    IVOID of underlying data collection
#INFO	creator=Kiefer F.	    First author or institution
#INFO	cites=bibcode:2025A&A...702A..77K	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2025	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/702/A77	    Dataset landing page
#INFO	publication_date=2025-12-01	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_702_A77_tableb1:
#Name: J/A+A/702/A77/tableb1
#Title: Candidates systems
#Column	Seq	(I4)	[1/9698] Identification number in the catalog (Catalog ID)	[ucd=meta.id]
#Column	RA_ICRS	(F15.11)	Right ascension (ICRS) at Ep=2016.0 (RA)	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F15.11)	Declination (ICRS) Ep=2016.0 (DE)	[ucd=pos.eq.dec;meta.main]
#Column	GaiaDR3	(I19)	Gaia DR3 Identification number (Gaia DR3 ID)	[ucd=meta.id;meta.main]
#Column	Alias	(a32)	Main alias of the star (main alias)	[ucd=meta.id]
#Column	HIP	(A10)	Name of the star in the Hipparcos catalog (HIP name)	[ucd=meta.id]
#Column	Gmag	(F5.2)	Magnitude in Gaia G-band (G)	[ucd=phot.mag;em.opt]
#Column	Vmag	(F6.2)	? Magnitude in Johnson V-band (V)	[ucd=phot.mag;em.opt.V]
#Column	Kmag	(F6.2)	? Magnitude in Johnson K-band (K)	[ucd=phot.mag;em.IR.K]
#Column	B-V	(F6.3)	? B-V color index from Johnson B- and V-band magnitude (B-V)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	BP-RP	(F6.3)	BP-RP color index from Gaia BP- and RP-band magnitude (BP-RP)	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	plx	(F5.2)	Parallax from the Gaia DR3 Catalog (Gaia Collaboration, Vallenari et al., 2023A&A...674A...1G) (PLX)	[ucd=pos.parallax.trig]
#Column	SpType	(a15)	Spectral type from Simbad (SP TYPE)	[ucd=src.spType]
#Column	MstarFlame	(F6.3)	Mass of the star from the mass-flame parameter in the Gaia CU8 catalog (Gaia Collaboration, Creevey et al., 2023A&A...674A...1G) (Mstar_Flame)	[ucd=phys.mass]
#Column	Dataset	(A2)	Identification of Gaia sources' astrometry fitted with 5 or 6 parameters (5p/6p) (Dataset)	[ucd=meta.id;meta.modelled]
#Column	NFOV	(I3)	[14/170] Number of field-of-view (FOV) transits during the Gaia DR3 observing campaign (astrometric_matched_transit in the Gaia DR3 catalog) (N_FOV)	[ucd=meta.id;instr.fov]
#Column	NAL	(I1)	[8/9] Deduced average number of astrometric along-scan angle measurements during a single FOV transit (N_AL)	[ucd=meta.number]
#Column	AEN	(F6.3)	astrometric_excess_noise from Gaia DR3 catalog (AEN)	[ucd=stat.fit.param]
#Column	RUWE	(F6.3)	Renormalised unit weight error from Gaia DR3 catalog (RUWE)	[ucd=stat.error]
#Column	sigmacalib	(F6.3)	G-mag and BP-RP dependent calibration noise as determined in Paper I (Kiefer, Lagrange, et al. 2024a) (sigma_calib)	[ucd=stat.correlation]
#Column	sigmaAL	(F6.3)	G-mag and BP-RP dependent along-scan angle measurement noise as determined in Paper I (sigma_AL)	[ucd=stat.correlation]
#Column	sigmaatt	(F6.3)	RA-Dec dependent attitude excess noise as determined in Paper I (sigma_att)	[ucd=stat.correlation]
#Column	alphaU	(F6.3)	Astrometric signature determined from the RUWE (alpha_UEVA_RUWE)	[ucd=stat.fit.param]
#Column	pRUWE	(E9.2)	p-value of the RUWE in the single-star null hypothesis (Paper I) (p_RUWE)	[ucd=stat.fit.goodness]
#Column	s_RUWE	(F6.1)	Significance of the RUWE as a number of sigma (s_RUWE) (1)	[ucd=meta.number;phys.atmol.number]
#Column	Mplmin	(F4.1)	Approximate minimum mass of the planet deduced from the RUWE (Papers I & II) (M_planet_min)	[ucd=phys.mass]
#Column	smaPlmin	(F5.2)	Approximate semi-major axis of the planet if the mass is M_planet_min (sma_planet_min)	[ucd=phys.angSize;src]
#Column	rhoPlmin	(F6.2)	Planet-to-star angular separation at sma_planet_min (rho_planet_min)	[ucd=pos.angDistance]
#Column	WDS	(A17)	Name of the star in the WDS catalog (if found) (WDS_ID)	[ucd=meta.id]
#Column	NSSflag	(I1)	[0/3]? Flag indicating the type of solution determined in the Gaia non-single star catalog (see Gaia Collaboration, Arenou et al., 2023A&A...674A..34G) (NSS_flag) (2)	[ucd=meta.code.error;meta.table]
#Column	NPlNEA	(I1)	? Number of planets found in the Nasa Exoplanet Archive (N_planeta_NEA)	[ucd=meta.number]
Seq	RA_ICRS	DE_ICRS	GaiaDR3	Alias	HIP	Gmag	Vmag	Kmag	B-V	BP-RP	plx	SpType	MstarFlame	Dataset	NFOV	NAL	AEN	RUWE	sigmacalib	sigmaAL	sigmaatt	alphaU	pRUWE	s_RUWE	Mplmin	smaPlmin	rhoPlmin	WDS	NSSflag	NPlNEA
6153	 58.39200462344	-36.51561924119	4857553074850726400	                                	          	14.13	      	      	      	 2.086	 7.90	               	 0.562	5p	 55	9	 0.137	 1.399	 0.073	 0.121	 0.075	 0.133	 0.00e+00	9999.0	13.2	 1.73	 13.69	                 	0	0
6154	186.85744343070	+11.78776440811	3907565888761258624	                                	          	14.13	      	      	      	 2.216	 7.43	               	 0.599	5p	 26	9	 0.087	 1.180	 0.073	 0.120	 0.078	 0.088	 1.30e-03	   3.2	 9.6	 1.77	 13.15	                 	0	0
6155	327.84924625970	+10.86206052531	2726743108367849728	UCAC4 505-142816                	          	14.13	 15.18	 10.63	 1.550	 2.493	 8.13	               	 0.600	5p	 25	9	 0.059	 1.195	 0.076	 0.120	 0.072	 0.084	 3.80e-03	   2.9	 8.4	 1.77	 14.40	WDS J21514+1052A 	0	0
6156	134.88882190035	-77.87931987537	5215195035950166016	                                	          	14.13	      	      	      	 2.267	 9.76	               	 0.539	5p	 34	9	 0.124	 1.481	 0.074	 0.120	 0.077	 0.151	 0.00e+00	9999.0	11.8	 1.71	 16.68	                 	0	0
6157	252.61700783994	+31.07985316484	1313096301253962368	                                	          	14.13	      	      	      	 1.921	 6.20	               	 0.629	5p	 50	9	 0.048	 1.132	 0.073	 0.120	 0.074	 0.070	 2.90e-03	   3.0	 9.5	 1.80	 11.15	                 	0	0
6158	 40.00702080797	+37.52265975356	 333532905212631808	UCAC4 638-009779                	          	14.13	 14.97	 11.01	 1.475	 2.018	 7.49	M1.8           	 0.594	5p	 22	9	 0.047	 1.201	 0.073	 0.120	 0.071	 0.087	 2.70e-03	   3.0	 9.5	 1.77	 13.23	                 	0	0
6159	191.60620295212	+47.64213574470	1543159213764014464	                                	          	14.13	      	      	      	 2.317	 8.62	               	 0.587	5p	 83	9	 0.063	 1.212	 0.074	 0.120	 0.079	 0.094	 0.00e+00	   6.1	 8.8	 1.76	 15.16	                 	0	0
6160	  7.06915493411	 +5.07598885636	2555103708275611264	                                	          	14.13	      	      	      	 1.981	 7.46	               	 0.595	5p	 32	9	 0.084	 1.220	 0.073	 0.120	 0.077	 0.098	 2.00e-05	   4.2	10.7	 1.77	 13.17	                 	0	0
6161	352.18365740226	-70.99283275511	6381221688365978496	                                	          	14.13	      	      	      	 1.739	 5.72	               	 0.661	5p	 43	9	 0.050	 1.129	 0.073	 0.120	 0.076	 0.073	 2.90e-03	   3.0	11.1	 1.83	 10.46	                 	0	0
6162	 88.46102919031	 -0.84605880464	3218409627018195584	                                	          	14.13	      	      	      	 1.802	 6.55	               	 0.570	5p	 37	9	 0.054	 1.137	 0.073	 0.120	 0.073	 0.072	 6.60e-03	   2.7	 8.6	 1.74	 11.40	                 	0	0
6163	 13.21434167268	+10.71955094591	2582612905086733568	                                	          	14.13	      	      	      	 1.809	 6.39	               	 0.605	5p	 44	9	 0.041	 1.136	 0.073	 0.120	 0.079	 0.078	 8.10e-04	   3.3	10.0	 1.78	 11.34	                 	0	0
6164	280.35674905614	 -5.63529586934	4253498493420659072	                                	          	14.13	      	      	      	 2.366	 9.97	               	 0.542	5p	 24	9	 0.046	 1.164	 0.074	 0.121	 0.081	 0.086	 2.50e-03	   3.0	 6.6	 1.71	 17.08	                 	0	0
6165	319.02471843914	-79.76794719475	6349708207645515264	                                	          	14.13	      	      	      	 2.193	 9.01	               	 0.544	5p	 41	9	 0.030	 1.161	 0.073	 0.121	 0.077	 0.080	 7.10e-04	   3.4	 6.8	 1.71	 15.45	                 	0	0
6166	221.76069534625	+53.25665554594	1605991802162861696	                                	          	14.13	      	      	      	 2.169	 8.97	               	 0.551	5p	 43	8	 0.075	 1.186	 0.073	 0.121	 0.078	 0.088	 9.00e-05	   3.9	 7.6	 1.72	 15.45	                 	0	0
6167	230.07560669207	+55.68598477039	1600636836937743744	Gaia DR3 1600636836937743744    	          	14.13	      	      	      	 2.167	 9.12	               	 0.547	5p	 42	9	 0.033	 1.135	 0.073	 0.121	 0.079	 0.075	 1.90e-03	   3.1	 6.3	 1.72	 15.67	                 	0	0
6168	264.84202132273	+35.32754766577	4608612715926312960	                                	          	14.13	      	      	      	 2.243	 8.34	               	 0.584	5p	 50	9	 0.068	 1.161	 0.073	 0.121	 0.076	 0.079	 3.20e-04	   3.6	 7.6	 1.76	 14.64	                 	0	0
6169	114.89632329276	 -3.23135837591	3057781114326291584	                                	          	14.13	      	      	      	 2.307	 9.15	               	 0.559	5p	 44	9	 0.047	 1.139	 0.074	 0.121	 0.076	 0.072	 3.40e-03	   2.9	 6.2	 1.73	 15.83	                 	0	0
6170	258.50073437016	+25.38550894377	4573504416299394304	                                	          	14.13	      	      	      	 2.174	 9.67	               	 0.532	5p	 52	8	 0.127	 1.270	 0.073	 0.121	 0.073	 0.103	 0.00e+00	   5.5	 8.0	 1.70	 16.46	                 	0	0
6171	331.04937162841	 -2.90704887677	2676315416309506432	                                	          	14.13	      	      	      	 1.986	 6.65	               	 0.634	5p	 23	9	 0.032	 1.230	 0.073	 0.121	 0.076	 0.100	 1.70e-04	   3.8	12.7	 1.80	 11.99	                 	0	0
6172	 53.90318645670	+80.00528366713	 556037362473970944	                                	          	14.13	      	      	      	 1.960	 6.41	               	 0.627	5p	 41	9	 0.079	 1.187	 0.073	 0.121	 0.074	 0.086	 1.40e-04	   3.8	11.3	 1.80	 11.53	                 	0	0
6173	  4.97054911870	 -8.35778993884	2430032267751241344	                                	          	14.13	      	      	      	 2.195	 8.00	               	 0.558	5p	 26	9	 0.056	 1.149	 0.073	 0.121	 0.078	 0.080	 5.80e-03	   2.8	 7.7	 1.73	 13.83	                 	0	0
6174	278.69424303787	-22.02928615075	4079508268736092160	                                	          	14.13	      	      	      	 1.951	 7.06	               	 0.582	5p	 24	8	 0.040	 1.104	 0.073	 0.121	 0.099	 0.094	 7.70e-04	   3.4	10.7	 1.75	 12.37	                 	0	0
6175	239.78191292869	-32.74390323204	6036336673502555392	                                	          	14.13	      	      	      	 2.256	10.04	               	 0.530	5p	 55	9	 0.058	 1.147	 0.073	 0.121	 0.074	 0.071	 1.50e-03	   3.2	 5.4	 1.70	 17.06	                 	0	0
6176	 52.72889440985	 +4.99597638098	3275496236371338368	                                	          	14.13	      	      	      	 1.759	 5.52	               	 0.647	5p	 26	9	 0.065	 1.158	 0.073	 0.120	 0.074	 0.081	 4.80e-03	   2.8	12.6	 1.82	 10.02	                 	0	0
6177	274.71845326772	+32.27034584147	4592610251899484928	                                	          	14.13	      	      	      	 1.813	 5.82	               	 0.642	5p	 51	9	 0.000	 1.112	 0.073	 0.121	 0.075	 0.066	 6.30e-03	   2.7	 9.7	 1.81	 10.55	                 	0	0
6178	304.47680515702	-28.39192528072	6845725150208926080	                                	          	14.13	      	      	      	 1.800	 4.93	               	 0.679	5p	 33	9	 0.061	 1.126	 0.073	 0.121	 0.077	 0.074	 6.70e-03	   2.7	13.3	 1.85	  9.10	                 	0	0
6179	205.16959241338	+45.73998680010	1503533536250707200	                                	          	14.13	      	      	      	 1.850	 5.80	               	 0.669	5p	 62	9	 0.000	 1.104	 0.073	 0.121	 0.078	 0.067	 2.40e-03	   3.0	10.2	 1.84	 10.66	                 	0	0
6180	278.29252319077	-31.83438465135	4046608269492899456	                                	          	14.13	      	      	      	 2.221	10.29	               	 0.516	5p	 23	9	 0.000	 1.099	 0.073	 0.121	 0.094	 0.086	 3.00e-03	   3.0	 6.2	 1.68	 17.33	                 	0	0
6181	 94.57550086563	-22.29050308179	2937684414162626432	                                	          	14.13	      	      	      	 2.068	 8.87	               	 0.555	5p	 85	9	 0.019	 1.101	 0.073	 0.121	 0.074	 0.057	 6.70e-03	   2.7	 5.0	 1.73	 15.30	                 	0	0
6182	161.15469650888	 -1.15511134226	3805742144137402496	                                	          	14.13	      	      	      	 2.346	 9.71	               	 0.547	5p	 22	9	 0.069	 1.254	 0.074	 0.121	 0.076	 0.104	 1.00e-04	   3.9	 8.2	 1.72	 16.68	                 	0	0
6183	252.34319885651	-46.79487749873	5939996154700111360	                                	          	14.13	      	      	      	 2.144	 8.24	               	 0.571	5p	 49	9	 0.058	 1.131	 0.073	 0.121	 0.079	 0.075	 1.00e-03	   3.3	 7.2	 1.74	 14.36	                 	0	0
6184	275.53568628538	-32.16307128513	4046002683489086592	                                	          	14.13	      	      	      	 2.195	 7.86	               	 0.588	5p	 25	9	 0.000	 1.008	 0.073	 0.121	 0.111	 0.080	 6.00e-03	   2.7	 8.2	 1.76	 13.82	                 	0	0
6185	317.90229101467	-28.31957665103	6789049311525492608	                                	          	14.13	      	      	      	 1.728	 6.62	               	 0.564	5p	 30	9	 0.066	 1.129	 0.074	 0.121	 0.077	 0.077	 5.90e-03	   2.8	 9.1	 1.74	 11.49	                 	0	0
6186	 75.64284463749	 +8.98452677034	3290386613109272064	UCAC4 495-009702                	          	14.13	 15.38	 10.52	 1.498	 2.528	 8.84	               	 0.586	5p	 32	9	 0.068	 1.165	 0.076	 0.120	 0.075	 0.077	 5.10e-03	   2.8	 7.0	 1.76	 15.54	                 	0	0
6187	306.02932963632	-37.97354798752	6694690765521780608	                                	          	14.14	      	      	      	 2.126	 7.89	               	 0.586	5p	 25	9	 0.066	 1.234	 0.073	 0.121	 0.075	 0.099	 1.10e-04	   3.9	10.1	 1.76	 13.86	                 	0	0
6188	 69.05529442432	-71.70598714844	4653292607881484928	                                	          	14.14	      	      	      	 1.960	 6.55	               	 0.643	5p	 37	9	 0.058	 1.120	 0.073	 0.121	 0.080	 0.075	 3.50e-03	   2.9	 9.8	 1.81	 11.88	                 	0	0
6189	 23.06868685506	-24.16691870993	5038821001347204224	                                	          	14.14	      	      	      	 2.299	10.56	               	 0.517	5p	 75	9	 0.078	 1.205	 0.074	 0.121	 0.080	 0.094	 0.00e+00	   5.8	 6.6	 1.69	 17.81	                 	0	0
6190	170.35071515074	+10.19880868690	3915232611542987904	LP  492-41                      	          	14.14	      	 11.10	      	 1.948	 7.53	               	 0.584	5p	 23	9	 0.105	 1.267	 0.073	 0.121	 0.075	 0.108	 2.00e-05	   4.3	11.6	 1.76	 13.21	                 	0	0
6191	167.59986563468	 -3.90203467035	3788629482601917184	                                	          	14.14	      	      	      	 2.126	 9.39	               	 0.531	5p	 22	9	 0.060	 1.177	 0.073	 0.121	 0.076	 0.087	 3.00e-03	   3.0	 7.0	 1.70	 15.98	                 	0	0
6192	 75.30736945035	-35.84569727954	4824652147895424384	UCAC4 271-005720                	          	14.14	 15.30	 10.61	 1.601	 2.523	10.33	               	 0.559	5p	 48	9	 0.074	 1.175	 0.076	 0.120	 0.075	 0.080	 5.00e-04	   3.5	 6.0	 1.73	 17.87	                 	0	0
6193	 39.76877032291	 -7.22600450821	5177810231853955200	                                	          	14.14	      	      	      	 2.186	 9.16	               	 0.544	5p	 19	9	 0.054	 1.176	 0.073	 0.121	 0.076	 0.086	 6.00e-03	   2.7	 7.2	 1.71	 15.70	                 	0	0
6194	 17.29948072345	+55.18681090000	 411610943892340608	                                	          	14.14	      	      	      	 2.480	 9.75	               	 0.549	5p	 67	9	 0.128	 1.491	 0.075	 0.120	 0.073	 0.147	 0.00e+00	9999.0	11.6	 1.72	 16.77	                 	0	0
6195	126.63487004552	-26.97668672755	5694815305213574272	                                	          	14.14	      	      	      	 2.159	 8.90	               	 0.550	5p	 74	9	 0.054	 1.142	 0.073	 0.121	 0.072	 0.068	 8.60e-04	   3.3	 5.9	 1.72	 15.31	                 	0	0
6196	294.06529838363	-46.16903740611	6660528462508605312	                                	          	14.14	      	      	      	 1.778	 5.48	               	 0.658	5p	 31	9	 0.066	 1.155	 0.073	 0.121	 0.072	 0.076	 5.30e-03	   2.8	12.1	 1.83	 10.01	                 	0	0
6197	349.14762828767	 +0.37111777068	2657159621651502208	                                	          	14.14	      	      	      	 1.884	 5.79	               	 0.652	5p	 21	9	 0.084	 1.179	 0.073	 0.121	 0.075	 0.088	 3.20e-03	   2.9	13.1	 1.82	 10.54	                 	0	0
6198	166.08210409765	+29.76825178131	 732379644380538496	                                	          	14.14	      	      	      	 1.888	 6.55	               	 0.586	5p	 30	9	 0.081	 1.177	 0.073	 0.121	 0.078	 0.089	 4.60e-04	   3.5	10.9	 1.76	 11.52	                 	0	0
6199	255.11216494434	+44.27082328682	1358308528625445888	                                	          	14.14	      	      	      	 2.180	 9.47	               	 0.535	5p	 40	9	 0.054	 1.161	 0.073	 0.121	 0.076	 0.080	 9.00e-04	   3.3	 6.4	 1.70	 16.14	                 	0	0
6200	 74.18688405899	-69.32182603574	4655270113956994688	                                	          	14.14	      	      	      	 2.271	 7.91	               	 0.609	5p	 37	9	 0.035	 1.120	 0.074	 0.121	 0.087	 0.082	 9.20e-04	   3.3	 8.5	 1.78	 14.08	                 	0	0
6201	 27.61970331062	-49.81472264627	4940784249648158592	                                	          	14.14	      	      	      	 2.184	 7.49	               	 0.610	5p	 52	9	 0.040	 1.100	 0.073	 0.121	 0.080	 0.066	 6.50e-03	   2.7	 7.3	 1.78	 13.34	                 	0	0
6202	210.51276587209	 -3.23092100727	3645501071852051072	                                	          	14.14	      	      	      	 1.981	 6.48	               	 0.600	5p	 22	9	 0.091	 1.228	 0.073	 0.121	 0.074	 0.098	 3.50e-04	   3.6	12.4	 1.77	 11.48	                 	0	0
6203	 26.12800795478	+81.49625011818	 566024192230247424	                                	          	14.14	      	      	      	 1.975	 7.75	               	 0.552	5p	 50	9	 0.057	 1.174	 0.073	 0.121	 0.075	 0.083	 1.00e-04	   3.9	 8.2	 1.72	 13.35	                 	0	0
6204	246.77885190864	 -2.54528721241	4358530754694062720	                                	          	14.14	      	      	      	 1.743	 5.02	               	 0.729	5p	 48	9	 0.030	 1.135	 0.073	 0.121	 0.073	 0.072	 2.30e-03	   3.1	13.4	 1.89	  9.49	                 	0	0
6205	288.83061507258	-21.89521732031	4081052605837723520	                                	          	14.14	      	      	      	 2.335	 9.91	               	 0.536	5p	 22	9	 0.063	 1.170	 0.074	 0.121	 0.078	 0.087	 3.60e-03	   2.9	 6.6	 1.71	 16.91	                 	0	0
6206	216.68494715092	+44.67507664928	1494375429024870272	                                	          	14.14	      	      	      	 2.262	 7.97	               	 0.575	5p	 52	9	 0.057	 1.166	 0.074	 0.121	 0.077	 0.081	 1.30e-04	   3.8	 8.1	 1.75	 13.92	                 	0	0
6207	199.82870061413	-49.06662350022	6083313960628561408	UCAC4 205-071580                	          	14.14	 15.58	 10.26	 1.479	 2.842	 9.39	               	 0.602	5p	 40	9	 0.070	 1.187	 0.084	 0.118	 0.072	 0.077	 4.40e-03	   2.8	 6.8	 1.77	 16.66	                 	0	0
6208	353.81817578965	+44.29687610463	1925210573516146944	                                	          	14.14	      	      	      	 2.285	10.27	               	 0.520	5p	 59	8	 0.053	 1.161	 0.074	 0.121	 0.076	 0.078	 3.00e-04	   3.6	 5.6	 1.69	 17.35	                 	0	0
6209	122.19343523405	-63.25228452312	5277439076394519808	                                	          	14.14	      	      	      	 2.253	 9.09	               	 0.560	5p	 34	9	 0.041	 1.134	 0.073	 0.121	 0.077	 0.074	 6.80e-03	   2.7	 6.3	 1.73	 15.73	                 	0	0
6210	224.88961705923	+38.81580989143	1296478419950344576	                                	          	14.14	      	      	      	 2.034	 8.27	               	 0.562	5p	 62	9	 0.047	 1.138	 0.073	 0.121	 0.075	 0.072	 5.70e-04	   3.4	 6.9	 1.73	 14.34	                 	0	0
6211	150.06130713074	-30.38894199808	5463721944143105664	                                	          	14.14	      	      	      	 2.263	10.46	               	 0.514	5p	 42	8	 0.063	 1.179	 0.074	 0.121	 0.072	 0.079	 1.40e-03	   3.2	 5.5	 1.68	 17.59	                 	0	0
6212	120.69362094695	+24.13594682907	 680565644253935872	UCAC4 571-043220                	          	14.14	      	 10.77	      	 2.279	 9.47	               	 0.535	5p	 33	9	 0.070	 1.199	 0.074	 0.121	 0.076	 0.090	 2.30e-04	   3.7	 7.2	 1.70	 16.15	                 	0	0
6213	262.94625523792	+84.36933702346	1723434006379606272	                                	          	14.14	      	      	      	 2.209	10.30	               	 0.510	5p	 39	9	 0.043	 1.150	 0.073	 0.121	 0.078	 0.079	 1.30e-03	   3.2	 5.6	 1.68	 17.29	                 	0	0
6214	342.49281340405	-64.49924717511	6392558306083687040	                                	          	14.14	      	      	      	 2.286	10.74	               	 0.516	5p	 58	9	 0.072	 1.190	 0.074	 0.121	 0.075	 0.085	 1.00e-05	   4.3	 5.9	 1.68	 18.10	                 	0	0
6215	 55.13187644401	-31.35165471323	4863698073540407424	                                	          	14.14	      	      	      	 2.111	 8.31	               	 0.557	5p	 64	9	 0.038	 1.121	 0.073	 0.122	 0.075	 0.066	 2.50e-03	   3.0	 6.2	 1.73	 14.36	                 	0	0
6216	 14.09900654734	+30.31200526677	 312451522095700352	                                	          	14.14	      	      	      	 2.433	10.72	               	 0.518	5p	 39	9	 0.052	 1.180	 0.075	 0.121	 0.076	 0.083	 5.70e-04	   3.4	 5.8	 1.69	 18.07	                 	0	0
6217	174.47517956771	-29.04138579240	3483653097684760064	                                	          	14.14	      	      	      	 2.201	10.04	               	 0.510	5p	 55	9	 0.074	 1.158	 0.073	 0.122	 0.076	 0.078	 2.70e-04	   3.6	 5.7	 1.68	 16.85	                 	0	0
6218	 57.95188996028	 -3.44536611697	3246915634199716608	                                	          	14.14	      	      	      	 2.128	 7.51	               	 0.600	5p	 32	9	 0.037	 1.203	 0.073	 0.122	 0.072	 0.088	 4.50e-04	   3.5	 9.5	 1.77	 13.31	                 	0	0
6219	307.16563410110	+61.79990664448	2242974897142767872	                                	          	14.14	      	      	      	 2.039	 8.46	               	 0.568	5p	 41	9	 0.062	 1.141	 0.073	 0.121	 0.075	 0.074	 2.90e-03	   3.0	 6.9	 1.74	 14.72	                 	0	0
6220	 41.54259303616	-69.58756941036	4646726977264434048	                                	          	14.14	      	      	      	 2.115	 9.54	               	 0.511	5p	 36	9	 0.081	 1.199	 0.073	 0.122	 0.077	 0.092	 5.00e-05	   4.0	 7.1	 1.68	 16.01	                 	0	0
6221	 90.59406918039	-34.81946479531	2889204575668625664	                                	          	14.14	      	      	      	 2.163	 7.57	               	 0.608	5p	 48	9	 0.047	 1.185	 0.073	 0.122	 0.076	 0.086	 4.00e-05	   4.1	 9.4	 1.78	 13.47	                 	0	0
6222	180.43654884894	+41.49204103003	1537159007008823680	                                	          	14.14	      	      	      	 2.193	 7.85	               	 0.579	5p	 40	9	 0.086	 1.208	 0.073	 0.122	 0.079	 0.096	 1.00e-05	   4.5	 9.8	 1.75	 13.74	                 	0	0
6223	205.26705599481	-48.98266254643	6070793065809965440	                                	          	14.14	      	      	      	 2.091	 6.06	               	 0.650	5p	 51	9	 0.072	 1.199	 0.073	 0.122	 0.072	 0.086	 3.00e-05	   4.2	12.2	 1.82	 11.03	                 	0	0
6224	 80.73890008007	-11.87859029018	2988953301332386944	                                	          	14.14	      	      	      	 1.928	 6.38	               	 0.632	5p	 64	8	 0.045	 1.139	 0.073	 0.121	 0.072	 0.069	 2.00e-03	   3.1	 9.1	 1.80	 11.50	                 	0	0
6225	321.24724908077	-40.34314586093	6582184479457384576	                                	          	14.14	      	      	      	 1.661	 4.77	               	 0.700	5p	 73	9	 0.000	 1.094	 0.074	 0.121	 0.075	 0.061	 5.50e-03	   2.8	11.6	 1.86	  8.89	                 	0	0
6226	340.05329802598	+51.76597190084	2001886219477960576	                                	          	14.14	      	      	      	 1.804	 5.95	               	 0.654	5p	 49	8	 0.069	 1.153	 0.073	 0.121	 0.074	 0.077	 9.50e-04	   3.3	11.2	 1.82	 10.85	                 	0	0
6227	209.90265030768	-47.56056472691	6094351751703438208	                                	          	14.14	      	      	      	 1.951	 7.16	               	 0.600	5p	 35	9	 0.058	 1.208	 0.073	 0.121	 0.073	 0.091	 1.10e-04	   3.9	10.4	 1.77	 12.68	                 	0	0
6228	210.34434334096	+44.61252456250	1499676002783928704	ATO J210.3443+44.6125           	          	14.14	      	      	      	 2.346	 8.23	               	 0.587	5p	 54	9	 0.136	 1.370	 0.074	 0.121	 0.078	 0.130	 0.00e+00	9999.0	12.7	 1.76	 14.47	                 	0	0
6229	162.87573838956	+47.30964395661	 831426812906046848	                                	          	14.15	      	      	      	 2.123	 7.62	               	 0.592	5p	 54	9	 0.053	 1.161	 0.073	 0.122	 0.082	 0.087	 1.00e-05	   4.4	 9.3	 1.76	 13.44	                 	0	0
6230	  3.63978245761	-42.35071764834	4995178258103916416	                                	          	14.15	      	      	      	 1.710	 5.41	               	 0.669	5p	 50	9	 0.047	 1.111	 0.074	 0.121	 0.076	 0.068	 4.80e-03	   2.8	11.1	 1.84	  9.93	                 	0	0
6231	204.56073091236	-47.68974889239	6083112406403506176	UCAC4 212-079620                	          	14.15	      	 10.44	      	 2.636	 8.17	               	 0.612	5p	 24	9	 0.088	 1.265	 0.078	 0.120	 0.073	 0.102	 1.80e-04	   3.8	10.3	 1.78	 14.56	                 	0	0
6232	195.43748723079	-27.88493075218	6186926679383902080	                                	          	14.15	      	      	      	 1.836	 5.19	               	 0.674	5p	 35	8	 0.051	 1.134	 0.073	 0.121	 0.077	 0.075	 5.60e-03	   2.8	12.9	 1.84	  9.55	                 	0	0
